Field,Topic,Keyword,Related Word,Weight
其他,大規模非自願移民,外配,外配,1.0
其他,大規模非自願移民,外配,外偶,0.996168
其他,大規模非自願移民,外配,家庭,0.992843
其他,大規模非自願移民,外配,免費,0.979279
其他,大規模非自願移民,外配,親子,0.979091
其他,大規模非自願移民,外配,考照,0.963908
其他,大規模非自願移民,外配,教育,0.962228
其他,大規模非自願移民,外配,情報,0.960033
其他,大規模非自願移民,外配,服務,0.958881
其他,大規模非自願移民,外配,志工,0.958022
其他,大規模非自願移民,外配,外籍,0.956775
其他,大規模非自願移民,外配,輔導,0.953864
其他,大規模非自願移民,外配,生活,0.952735
其他,大規模非自願移民,外配,配偶,0.950536
其他,大規模非自願移民,外配,活動,0.949206
其他,大規模非自願移民,外配,表揚,0.947307
其他,大規模非自願移民,外配,研習,0.944968
其他,大規模非自願移民,外配,服務中心,0.94304
其他,大規模非自願移民,外配,外勞,0.94273
其他,大規模非自願移民,外配,越娘,0.942651
其他,大規模非自願移民,外配,弱勢,0.939868
其他,大規模非自願移民,外配,社區,0.939603
其他,大規模非自願移民,外配,聯誼,0.937706
其他,大規模非自願移民,外配,輔導班,0.937391
其他,大規模非自願移民,外配,嘉年華,0.936412
其他,大規模非自願移民,外配,共讀,0.936213
其他,大規模非自願移民,外配,點滴,0.935443
其他,大規模非自願移民,外配,交流,0.934341
其他,大規模非自願移民,外配,提供,0.933277
其他,大規模非自願移民,外配,學習,0.931208
其他,大規模非自願移民,外配,中心,0.930272
其他,大規模非自願移民,外配,母語,0.924902
其他,大規模非自願移民,外配,宣導,0.92475
其他,大規模非自願移民,外配,停電,0.923499
其他,大規模非自願移民,外配,UNK,0.9234
其他,大規模非自願移民,外配,關懷,0.922777
其他,大規模非自願移民,外配,講座,0.921838
其他,大規模非自願移民,外配,女性,0.919266
其他,大規模非自願移民,外配,小調,0.917888
其他,大規模非自願移民,外配,座談,0.917109
其他,大規模非自願移民,外配,補校,0.916794
其他,大規模非自願移民,外配,傳唱,0.916294
其他,大規模非自願移民,外配,影展,0.914143
其他,大規模非自願移民,外配,內政部,0.913734
其他,大規模非自願移民,外配,家暴,0.91354
其他,大規模非自願移民,外配,停水,0.913422
其他,大規模非自願移民,外配,新娘,0.911651
其他,大規模非自願移民,外配,學童,0.90984
其他,大規模非自願移民,外配,勞工局,0.909012
其他,大規模非自願移民,外配,就業,0.908777
其他,大規模非自願移民,外配,課程,0.9075
其他,大規模非自願移民,外配,報名,0.906872
其他,大規模非自願移民,外配,感謝,0.906592
其他,大規模非自願移民,外配,語言,0.905659
其他,大規模非自願移民,外配,同樂,0.904069
其他,大規模非自願移民,外配,早安,0.90404
其他,大規模非自願移民,外配,城鄉,0.903102
其他,大規模非自願移民,外配,照護,0.902977
其他,大規模非自願移民,外配,非法,0.901654
其他,大規模非自願移民,外配,負擔,0.901084
其他,大規模非自願移民,外配,揭牌,0.897725
其他,大規模非自願移民,外配,家鄉,0.896833
其他,大規模非自願移民,外配,移民,0.895783
其他,大規模非自願移民,外配,成長,0.894364
其他,大規模非自願移民,外配,區里,0.893237
其他,大規模非自願移民,外配,陸偶,0.892906
其他,大規模非自願移民,外配,幸福,0.892746
其他,大規模非自願移民,外配,遷移,0.892694
其他,大規模非自願移民,外配,成果展,0.892542
其他,大規模非自願移民,外配,補助,0.891146
其他,大規模非自願移民,外配,小孩,0.888792
其他,大規模非自願移民,外配,新台灣,0.888478
其他,大規模非自願移民,外配,開辦,0.887192
其他,大規模非自願移民,外配,子女,0.886542
其他,大規模非自願移民,外配,健康,0.884999
其他,大規模非自願移民,外配,受惠,0.884213
其他,大規模非自願移民,外配,影響,0.884048
其他,大規模非自願移民,外配,人物,0.882532
其他,大規模非自願移民,外配,多元文化,0.880895
其他,大規模非自願移民,外配,電話,0.880191
其他,大規模非自願移民,外配,縣府,0.879765
其他,大規模非自願移民,外配,手冊,0.879041
其他,大規模非自願移民,外配,媽媽,0.879032
其他,大規模非自願移民,外配,課後,0.878526
其他,大規模非自願移民,外配,老人,0.876882
其他,大規模非自願移民,外配,入學,0.875026
其他,大規模非自願移民,外配,座談會,0.874565
其他,大規模非自願移民,外配,歧視,0.874003
其他,大規模非自願移民,外配,萬元,0.873793
其他,大規模非自願移民,外配,母親,0.87373
其他,大規模非自願移民,外配,不同,0.873659
其他,大規模非自願移民,外配,東南亞,0.871247
其他,大規模非自願移民,外配,挑戰,0.869104
其他,大規模非自願移民,外配,課輔,0.868773
其他,大規模非自願移民,外配,比賽,0.867948
其他,大規模非自願移民,外配,體驗,0.866547
其他,大規模非自願移民,外配,首映,0.866252
其他,大規模非自願移民,外配,仲介,0.865147
其他,大規模非自願移民,外配,冷漠,0.86468
其他,大規模非自願移民,外配,之子,0.864449
其他,大規模非自願移民,外配,花蓮,0.864104
其他,大規模非自願移民,外配,最大,0.863905
其他,大規模非自願移民,外配,看護,0.863522
其他,大規模非自願移民,外配,單親,0.863165
其他,大規模非自願移民,外配,教學,0.863054
其他,大規模非自願移民,外配,訓練,0.8628
其他,大規模非自願移民,外配,研究,0.862507
其他,大規模非自願移民,外配,協助,0.862379
其他,大規模非自願移民,外配,上課,0.862313
其他,大規模非自願移民,外配,大陸,0.862307
其他,大規模非自願移民,外配,專業,0.862142
其他,大規模非自願移民,外配,創意,0.861942
其他,大規模非自願移民,外配,霸凌,0.861794
其他,大規模非自願移民,外配,勞工,0.86056
其他,大規模非自願移民,外配,越語,0.859391
其他,大規模非自願移民,外配,互動,0.859072
其他,大規模非自願移民,外配,納入,0.858825
其他,大規模非自願移民,外配,手機,0.85841
其他,大規模非自願移民,外配,官員,0.858233
其他,大規模非自願移民,外配,學歷,0.857539
其他,大規模非自願移民,外配,開課,0.857164
其他,大規模非自願移民,外配,商圈,0.856973
其他,大規模非自願移民,外配,族群,0.856318
其他,大規模非自願移民,外配,保健,0.855366
其他,大規模非自願移民,外配,不如,0.854596
其他,大規模非自願移民,外配,落跑,0.854304
其他,大規模非自願移民,外配,財力,0.852237
其他,大規模非自願移民,外配,人數,0.851629
其他,大規模非自願移民,外配,過年,0.851329
其他,大規模非自願移民,外配,不能,0.850964
其他,大規模非自願移民,外配,勇闖,0.850741
